id.resp_p,id.orig_h,id.resp_h,proto,orig_bytes,resp_bytes,ts,uid,id.orig_p,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,duration,client_initial_dcid,server_scid
443,192.168.1.3,142.251.16.105,udp,53,76,1740117899.925418,CD3mTTQyPzFqRJTaf,55939,SF,True,True,0,IIZiiishH,1,81,1,104,17,0.0110929012,2fe788e3cc713726,efe788e3cc713726
443,192.168.1.3,142.251.16.105,udp,53,76,1740117947.876753,CD3mTTQyPzFqRJTaf,55939,SF,True,True,0,IIZiiishH,1,81,1,104,17,0.0110929012,2fe788e3cc713726,efe788e3cc713726
443,192.168.1.3,142.251.16.105,udp,53,76,1740117899.925418,CD3mTTQyPzFqRJTaf,55939,SF,True,True,0,IIZiiishH,1,81,1,104,17,0.0110929012,2fe788e3cc713726,efe788e3cc713726
443,192.168.1.3,140.82.112.6,udp,53,76,1740117962.765208,CyMfVWlXhI3vrNp69,59270,SF,True,True,0,IIZiiishH,1,81,1,104,17,0.0110929012,2fe788e3cc713726,efe788e3cc713726
138,192.168.1.6,192.168.1.255,udp,445,0,1740117889.185467,C7Pjuw2BUOWHudVuZ8,138,S0,True,True,0,D,2,501,0,0,17,9.537e-07,2fe788e3cc713726,efe788e3cc713726
53,192.168.1.3,192.168.1.1,udp,63,224,1740117997.509092,CNBJg823yTUkzM44Tb,48273,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
443,192.168.1.3,20.190.152.19,udp,63,224,1740118083.863393,C7Bsqb427Kjk5R7J27,52614,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
443,192.168.1.3,20.190.152.19,udp,63,224,1740118067.951806,C7Bsqb427Kjk5R7J27,52614,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
443,192.168.1.3,20.190.152.19,udp,63,224,1740118127.959023,C7Bsqb427Kjk5R7J27,52614,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
443,192.168.1.3,20.190.152.19,udp,63,224,1740118007.877114,C7Bsqb427Kjk5R7J27,52614,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
443,192.168.1.3,20.190.152.19,udp,63,224,1740117947.876753,C7Bsqb427Kjk5R7J27,52614,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
443,192.168.1.3,20.190.152.19,udp,63,224,1740118007.877114,C7Bsqb427Kjk5R7J27,52614,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
443,192.168.1.3,20.190.152.19,udp,63,224,1740118067.951806,C7Bsqb427Kjk5R7J27,52614,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
53,192.168.1.3,192.168.1.1,udp,63,224,1740117887.972949,Cur95h403VzGnzVuK4,37156,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
53,192.168.1.3,192.168.1.1,udp,63,224,1740118127.959023,Cur95h403VzGnzVuK4,37156,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
53,192.168.1.3,192.168.1.1,udp,63,224,1740117947.876753,Cur95h403VzGnzVuK4,37156,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
53,192.168.1.3,192.168.1.1,udp,63,224,1740117947.876753,Cur95h403VzGnzVuK4,37156,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
53,192.168.1.3,192.168.1.1,udp,63,224,1740117947.876753,Cur95h403VzGnzVuK4,37156,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
53,192.168.1.3,192.168.1.1,udp,63,224,1740118007.877114,Cur95h403VzGnzVuK4,37156,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
53,192.168.1.3,192.168.1.1,udp,63,224,1740118007.877114,Cur95h403VzGnzVuK4,37156,SF,True,True,0,Dd,1,91,1,252,17,0.0025258064,2fe788e3cc713726,efe788e3cc713726
53,192.168.1.3,192.168.1.1,udp,63,224,1740118061.640765,Cur95h403VzGnzVuK4,37156,SF,True,True,0,Dd,1,91,1,252,17,0.0083110332,2fe788e3cc713726,efe788e3cc713726
53,192.168.1.3,192.168.1.1,udp,63,224,1740118007.877114,Cur95h403VzGnzVuK4,37156,SF,True,True,0,Dd,1,91,1,252,17,0.0083110332,2fe788e3cc713726,efe788e3cc713726
0,fe80::abf:b8ff:fe35:3202,ff02::16,icmp,80,0,1740118045.82245,Cbzijs24AmnnD0Y5xa,143,OTH,True,False,0,Dd,2,192,0,0,58,0.2799949646,2fe788e3cc713726,efe788e3cc713726
0,fe80::abf:b8ff:fe35:3202,ff02::16,icmp,80,0,1740118127.959023,Cbzijs24AmnnD0Y5xa,143,OTH,True,False,0,Dd,2,192,0,0,58,0.2799949646,2fe788e3cc713726,efe788e3cc713726
